,Close,30 days,Percent,Impl. Rate,Previous Impl. Rate,Effective Annual Rate,Impl. Rate 30d
Spot,98.31,98.30999999999997,-0.9999999999999716,,,,
DLR/OCT21,99.87,101.0788709422011,-2.208870942201102,0.5791882819652141,0.27155336569457506,0.7764926408688513,0.5886221153937061
DLR/NOV21,103.08,104.09379612034837,-2.013796120348374,0.4216617986834642,0.3053215535349393,0.5094594169561204,0.41889721930992696
DLR/DIC21,107.68,109.06004856162576,-2.380048561625756,0.4765537585189705,0.3934400759971319,0.5764737870980932,0.46393404536384697
DLR/ENE22,113.97,114.71622327790973,-1.7462232779097349,0.5590537780803269,0.4615085483770149,0.6799340067485131,0.5301306066204816
DLR/FEB22,118.7,118.86643705463182,-1.166437054631814,0.5735066564331136,0.4777868803785406,0.6839764362612166,0.5326404468675152
DLR/MAR22,124.3,123.82853127474266,-0.5285312747426616,0.5919892814329032,0.49806713083676757,0.6909138837014432,0.5369348853033422
DLR/ABR22,129.2,128.29576405384006,-0.09576405384007103,0.5973265902078457,0.5091234751644832,0.6810737339458812,0.5308387937602923
DLR/MAY22,134.24,132.08135391923992,1.158646080760093,0.5955309916154439,0.4995099535708096,0.6612723987326272,0.5184718430230522
DLR/JUN22,138.42,135.8167458432304,1.6032541567695944,0.5862921963866505,0.4953079979040299,0.6350875846484936,0.5019089345628256
DLR/JUL22,142.0,140.30926365795725,0.6907363420427544,0.5731796692729028,0.5034153337684805,0.6067985710264969,0.48373954353976867
