,Close,30 days,Percent,Impl. Rate,Previous Impl. Rate,Effective Annual Rate,Impl. Rate 30d
Spot,98.6817,98.00039656084657,-0.3186965608465613,,,,
DLR/OCT21,100.43,101.68031746031747,-2.2503174603174614,0.25866173768794143,0.2652606938086643,0.2922658467926862,0.25915590693559576
DLR/NOV21,103.46,104.47165343915344,-2.0116534391534486,0.3100664658686686,0.2851031610739599,0.3536347833040798,0.3066459015250844
DLR/DIC21,107.87,109.21794091710758,-2.3479409171075787,0.3861968581814055,0.35989057752174414,0.4466649532966278,0.37500100143174553
DLR/ENE22,113.97,114.98596119929452,-2.015961199294523,0.4751912955892485,0.42677718069281245,0.555489497699414,0.45002345596743343
DLR/FEB22,118.25,119.34268959435626,-2.0926895943562585,0.4923704778323935,0.4489810719444402,0.5670223322655346,0.45768976888134993
DLR/MAR22,123.49,124.58252645502647,-2.092526455026473,0.5155054305630219,0.4761230971851783,0.5838527792455943,0.4687853022521562
DLR/ABR22,128.0,128.76559201600867,-1.765592016008668,0.5238713897680266,0.48604126349187904,0.5819917382548438,0.4675637331793405
DLR/MAY22,132.6,133.5041005291005,-1.9041005291005035,0.524919151432752,0.4966272893356002,0.5701815520828897,0.459780797393206
DLR/JUN22,136.5,138.02235449735454,-2.5223544973545415,0.5200031381735153,0.5012954478298111,0.553025642340538,0.4483788852739856
DLR/JUL22,142.1,141.87780423280424,-0.7778042328042432,0.5389057196049071,0.5028646640914342,0.5630084028779587,0.45502744299600817
