Date,Cedears Rate,ADRs Rate,Dollar+Taxes
2020-07-27,128.13261561697595,132.87900832134017,128.81637336730958
2020-07-28,126.3622525349897,133.8338476135477,128.92631526947022
2020-07-29,128.13735666049837,132.64923522597277,129.1037674713135
2020-07-30,128.14595985426283,130.71981416393191,129.27943885803222
2020-07-31,129.56970498508477,128.60813735043072,129.43352622985842
2020-08-03,128.40568771231617,124.28573015105849,129.497407951355
2020-08-04,131.91700314881803,125.01205431175161,129.64623321533205
2020-08-05,132.31950515574346,130.4737545272866,129.57200134277343
2020-08-06,135.54208387164329,127.84652934371326,130.06921028137208
2020-08-07,138.18295453297577,124.74334817810504,130.29880153656006
2020-08-10,141.08708628594584,123.51248492742687,130.4251055145264
2020-08-11,136.69859519218033,124.2845661471588,130.4452836227417
2020-08-12,136.537896380972,126.99825256207768,130.67764652252197
2020-08-13,137.52169400028424,124.4483505940121,131.0102170944214
2020-08-14,135.63752373241218,127.08632577269086,130.99214115142823
2020-08-18,130.11279559769417,129.8476354435339,131.0971021270752
2020-08-19,132.46035886697484,129.08608053774464,131.23627349853516
2020-08-20,134.42940922805042,129.05314762339586,131.4101908493042
2020-08-21,131.27279898094167,128.81091196626372,131.7094213485718
2020-08-24,137.1679519139666,128.19102249512963,131.85086894989016
2020-08-25,134.60394090006628,126.76087552018637,131.93774059295654
2020-08-26,139.05586316708548,132.7250616898389,132.17079975128175
2020-08-27,133.1113731144615,138.54850588088186,132.06638774871828
2020-08-28,138.94233223475368,144.08312384815227,132.51759006500245
2020-08-31,139.6191179666037,149.54886815806051,132.6504415512085
2020-09-01,137.21424971152396,141.6251911477156,132.75971397399903
2020-09-02,134.81491251324144,144.52932896893793,132.9405537414551
2020-09-03,131.67951568477767,145.50972101678167,132.9628340148926
2020-09-04,130.79671432501817,146.17509534060508,133.46669757843017
2020-09-07,135.97799136989897,143.62750962813647,133.56181720733645
2020-09-08,136.83274337401417,146.38218653224914,133.67957862854004
2020-09-09,139.96907952142755,149.98961201333418,133.69940860748292
2020-09-10,142.9425547526252,150.1721568021262,134.8561350631714
2020-09-11,142.854652065602,152.10355998606389,135.029704284668
2020-09-14,146.57954348014846,151.87068602759967,135.26012569427493
2020-09-15,144.52101359694376,150.99572676382593,135.31681720733644
2020-09-16,149.40302487256537,153.6938214171633,135.32365928649904
2020-09-17,147.8813123737144,153.64400377204356,135.50314670562747
2020-09-18,148.88495830059378,157.1728377622165,135.3754368209839
2020-09-21,149.1287675790768,161.68799832945123,135.75292945861818
2020-09-22,148.44306669038812,165.03825879398744,135.8462950515747
2020-09-23,150.17394694866817,165.80755809766544,135.9633602142334
2020-09-24,147.37837972286675,164.54981223499556,135.9661720275879
2020-09-25,143.1473470267423,168.3875707589736,136.1597452926636
2020-09-28,144.3189110223738,176.50300940088113,136.2345127487183
2020-09-29,142.80125777610345,180.59930946673722,136.2952345275879
2020-09-30,142.6542560644275,177.47199184685127,136.88631786346437
2020-10-01,145.261224735957,166.61432946193787,137.26715789794923
2020-10-02,147.4101053738009,164.4863852778616,137.2064227294922
2020-10-05,155.55399950177375,157.2113983175447,137.41369354248047
2020-10-06,153.52810792036956,159.9070971504709,137.42228965759278
2020-10-07,153.96858696898227,155.77442309401476,137.38771774291993
2020-10-08,158.23374210558183,155.8538986600677,137.5514991760254
2020-10-09,166.3197983737172,155.8942596265417,138.0811243057251
2020-10-13,168.8474995700804,155.50067657497343,138.50881450653077
2020-10-14,177.2436426319126,152.6008174294853,138.56531856536867
2020-10-15,182.55819107924907,152.5200420344874,138.78135955810546
2020-10-16,185.9179634917561,150.38599311424497,138.49219802856447
2020-10-19,180.6526930074347,149.71059675997975,139.10955173492434
2020-10-20,188.96979076767485,150.41587980410995,139.2676693725586
2020-10-21,196.31862649867693,150.3266732805374,139.38683670043946
2020-10-22,195.56932053204775,147.3956024029797,139.52407997131348
2020-10-23,192.5829298673103,147.87229734487693,139.8045516586304
2020-10-26,168.28590441898913,147.26261865182926,140.3152305221558
2020-10-27,165.7768461274651,150.7245327364255,140.44861759185792
2020-10-28,152.72579595029367,149.87685796733493,140.56426345825196
