,Close,30 days,Percent,Impl. Rate,Previous Impl. Rate,Effective Annual Rate,Impl. Rate 30d
Spot,98.31,98.30695262483992,-0.9969526248399205,,,,
DLR/OCT21,100.01,101.2967178830559,-2.2867178830559,0.4207778116841304,0.2572523481168505,0.5176773705274529,0.4245175612817187
DLR/NOV21,103.26,104.15585808792146,-1.8958580879214537,0.3910231854511466,0.2890062068087044,0.46447591522109155,0.38762639753148065
DLR/DIC21,107.78,108.81512534804787,-2.0351253480478704,0.4507653706616176,0.3675890345010956,0.5378039740181659,0.4381653986295362
DLR/ENE22,114.08,113.91865899945124,-0.8386589994512406,0.5371559166426366,0.42260611693767924,0.6457378958844238,0.5086747986141731
DLR/FEB22,118.74,117.64672215108834,0.09327784891165436,0.5536597698179525,0.43476112316442267,0.6537330941865156,0.5137276151299242
DLR/MAR22,124.08999999999999,121.79204225352113,1.2979577464788576,0.5697296210723124,0.44447399349784245,0.6585810919091679,0.5167805645655639
DLR/ABR22,128.93333333333334,126.47740930431073,1.4559240290226114,0.5771403039626886,0.464492174872487,0.6527177619963842,0.5130871869542304
DLR/MAY22,133.5,131.03008962868117,1.4699103713188322,0.5705306136590473,0.4724000918136335,0.6285508468684016,0.4977362822248024
DLR/JUN22,137.6,135.04705505761842,1.552944942381572,0.5632191762799026,0.4749619163271259,0.606135276367767,0.4833100163112398
DLR/JUL22,141.0,139.29260563380282,0.7073943661971782,0.5503371562743701,0.48126507101534294,0.5794136698063566,0.46586933614802106
