,Close,30 days,Percent,Impl. Rate,Previous Impl. Rate,Effective Annual Rate,Impl. Rate 30d
Spot,98.6817,97.93724986449864,-0.25554986449863293,,,,
DLR/OCT21,100.515,101.72598690153569,-2.2109869015356907,0.24217636096662254,0.2634280129956756,0.2711910228864254,0.2423694309841773
DLR/NOV21,103.5,104.68991192411924,-2.1899119241192437,0.2970289830839961,0.28974231016767477,0.3364344872196767,0.293537931385349
DLR/DIC21,108.00666666666666,109.66425925925925,-2.657592592592593,0.3790200090577966,0.3689052884043983,0.4364373339218546,0.36768654696850334
DLR/ENE22,113.98,115.76042908762419,-2.780429087624185,0.4638094408422299,0.44086099987553806,0.5390865429538825,0.4390295480878281
DLR/FEB22,118.35,120.1850406504065,-2.835040650406512,0.48498890878450585,0.46344112661295506,0.5562056582654316,0.45050102990298857
DLR/MAR22,123.8,125.3201219512195,-2.520121951219508,0.5132960357833782,0.4875513973102122,0.5797936949193145,0.4661192612277061
DLR/ABR22,128.5,129.47246386630533,-1.9724638663053327,0.5251940860169134,0.4929540720262992,0.5823454645219561,0.4677960169930522
DLR/MAY22,133.9,133.740243902439,-0.8402439024389992,0.5382812652252497,0.49785211094413667,0.5845696605685193,0.4692555051246101
DLR/JUN22,137.5,137.86211382113822,-1.362113821138223,0.5278661946022649,0.5015718408164532,0.5607162844407168,0.45350433301195725
DLR/JUL22,142.1,141.96962059620594,-0.869620596205948,0.5335345662533632,0.5018558885935169,0.5560664661726189,0.4504082249913397
